stadium_code,access_code,mode,title,details,parking_spaces,reservation_required,evidence_type,evidence_subtype,source_id,verified_at,status,overlaps_legacy_parking_csv,content
DAEJEON,TRANSIT,PUBLIC_TRANSIT,대중교통 접근,"대전시 공식자료에서 급행4·513·604가 볼파크를 경유하는 노선으로 확인됨. 주말 홈경기 증편은 2026-04-11~08-30 한시 운영으로 종료되었으며, 2026-09-04 현재 정확한 정류장명과 잔여 시즌 임시 증편 여부는 공식 최신자료에서 미확인.",,N,OFFICIAL,OFFICIAL_XLSX,S099,2026-09-04,PARTIAL,False,"[대전 한화생명 볼파크] stadium_code: DAEJEON / access_code: TRANSIT / mode: PUBLIC_TRANSIT / title: 대중교통 접근 / details: 대전시 공식자료에서 급행4·513·604가 볼파크를 경유하는 노선으로 확인됨. 주말 홈경기 증편은 2026-04-11~08-30 한시 운영으로 종료되었으며, 2026-09-04 현재 정확한 정류장명과 잔여 시즌 임시 증편 여부는 공식 최신자료에서 미확인. / reservation_required: N (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
DAEGU,SUBWAY,SUBWAY,2호선 수성알파시티역,"대구도시철도 2호선 수성알파시티역(구 대공원역)에서 접근. 2024년 대구광역시 고시 제2024-220호로 '대공원역'에서 '수성알파시티역'으로 공식 개명됨 (연합뉴스·KBS 등 다수 보도로 교차 확인, 2026-09-08 재조사 중 발견·정정).",,N,OFFICIAL,GOV_NOTICE,S028,2026-09-03,CONFIRMED,False,"[대구 삼성 라이온즈 파크] stadium_code: DAEGU / access_code: SUBWAY / mode: SUBWAY / title: 2호선 수성알파시티역 / details: 대구도시철도 2호선 수성알파시티역(구 대공원역)에서 접근. 2024년 대구광역시 고시 제2024-220호로 '대공원역'에서 '수성알파시티역'으로 공식 개명됨 (연합뉴스·KBS 등 다수 보도로 교차 확인, 2026-09-08 재조사 중 발견·정정). / reservation_required: N"
GWANGJU,TERMINAL,BUS_TAXI,유스퀘어 터미널 출발,"매월26·일곡38·송암47·상무64 또는 매월16·용전84 이용. 하차 후 3~6분 도보, 택시 약 5분",,N,OFFICIAL,OFFICIAL_XLSX,S059,2026-09-03,CONFIRMED,False,"[광주-KIA 챔피언스 필드] stadium_code: GWANGJU / access_code: TERMINAL / mode: BUS_TAXI / title: 유스퀘어 터미널 출발 / details: 매월26·일곡38·송암47·상무64 또는 매월16·용전84 이용. 하차 후 3~6분 도보, 택시 약 5분 / reservation_required: N"
GWANGJU,SONGJEONG,BUS_SUBWAY,광주송정역 출발,송정98 또는 지하철 환승 후 버스 이용. 택시 약 30분,,N,OFFICIAL,OFFICIAL_XLSX,S059,2026-09-03,CONFIRMED,False,[광주-KIA 챔피언스 필드] stadium_code: GWANGJU / access_code: SONGJEONG / mode: BUS_SUBWAY / title: 광주송정역 출발 / details: 송정98 또는 지하철 환승 후 버스 이용. 택시 약 30분 / reservation_required: N
GWANGJU,AIRPORT,BUS_TAXI,광주공항 출발,일곡38 이용 후 도보 약 6분. 택시 약 25분,,N,OFFICIAL,OFFICIAL_XLSX,S059,2026-09-03,CONFIRMED,False,[광주-KIA 챔피언스 필드] stadium_code: GWANGJU / access_code: AIRPORT / mode: BUS_TAXI / title: 광주공항 출발 / details: 일곡38 이용 후 도보 약 6분. 택시 약 25분 / reservation_required: N
GWANGJU,PARKING,CAR,구장 주차,"2024 공식 사업 공고 기준 지상 94면·지하 588면, 합계 682면. 현재 운영 수치는 재확인 필요",682.0,N,OFFICIAL,OFFICIAL_XLSX,S062,2026-09-03,RECHECK,True,"[광주-KIA 챔피언스 필드] stadium_code: GWANGJU / access_code: PARKING / mode: CAR / title: 구장 주차 / details: 2024 공식 사업 공고 기준 지상 94면·지하 588면, 합계 682면. 현재 운영 수치는 재확인 필요 / parking_spaces: 682.0 / reservation_required: N (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SAJIK,SUBWAY,SUBWAY,3호선 사직역·종합운동장역,3호선 사직역 또는 종합운동장역에서 도보 접근,,N,OFFICIAL,OFFICIAL_XLSX,S063,2026-09-03,CONFIRMED,False,[사직야구장] stadium_code: SAJIK / access_code: SUBWAY / mode: SUBWAY / title: 3호선 사직역·종합운동장역 / details: 3호선 사직역 또는 종합운동장역에서 도보 접근 / reservation_required: N
SAJIK,BUS,BUS,사직야구장 경유,10·44·50·57·80·111·131·189·심야1002·마을17번,,N,OFFICIAL,OFFICIAL_XLSX,S063,2026-09-03,CONFIRMED,False,[사직야구장] stadium_code: SAJIK / access_code: BUS / mode: BUS / title: 사직야구장 경유 / details: 10·44·50·57·80·111·131·189·심야1002·마을17번 / reservation_required: N
SAJIK,DRIVE,CAR,도로 접근,경부·남해고속도로 및 김해공항 출발 경로를 롯데 공식 구장 안내에서 제공,,N,OFFICIAL,OFFICIAL_XLSX,S063,2026-09-03,CONFIRMED,False,[사직야구장] stadium_code: SAJIK / access_code: DRIVE / mode: CAR / title: 도로 접근 / details: 경부·남해고속도로 및 김해공항 출발 경로를 롯데 공식 구장 안내에서 제공 / reservation_required: N
SAJIK,PARKING,CAR,사직종합운동장 주차,"소형 10분 200원·중형 400원·대형 600원, 최초 10분 무료, 소형 1일 최대 5,000원",,N,OFFICIAL,OFFICIAL_XLSX,S064,2026-09-03,CONFIRMED,False,"[사직야구장] stadium_code: SAJIK / access_code: PARKING / mode: CAR / title: 사직종합운동장 주차 / details: 소형 10분 200원·중형 400원·대형 600원, 최초 10분 무료, 소형 1일 최대 5,000원 / reservation_required: N"
CHANGWON,DRIVE,CAR,서마산IC 접근,남해고속도로 서마산IC에서 마산종합운동장 방면 약 2.5km,,N,OFFICIAL,OFFICIAL_XLSX,S069,2026-09-03,CONFIRMED,False,[창원 NC 파크] stadium_code: CHANGWON / access_code: DRIVE / mode: CAR / title: 서마산IC 접근 / details: 남해고속도로 서마산IC에서 마산종합운동장 방면 약 2.5km / reservation_required: N
CHANGWON,SHUTTLE_2025,SHUTTLE,2026시즌 무료 셔틀버스,"NC 다이노스 공식 홈페이지 공지(2026-03-22/23)로 2026시즌 무료 셔틀 운행 확정. 45인승 차량 6대(창원 3·진주 2·김해 1, 2026-07-20 공지로 진주 지역 2→6대 증차). 출발편은 경기 시작 2시간 전 각 지역 출발지에서, 귀가편은 경기 종료 20분 후 운행. 사전예약제(경기 5일 전 오전 11시 예약 오픈, 라이더스 앱). 마산역행은 비예약 선착순.",,N,OFFICIAL,OFFICIAL_TEAM_SITE,S073,2026-09-03,CONFIRMED,False,"[창원 NC 파크] stadium_code: CHANGWON / access_code: SHUTTLE_2025 / mode: SHUTTLE / title: 2026시즌 무료 셔틀버스 / details: NC 다이노스 공식 홈페이지 공지(2026-03-22/23)로 2026시즌 무료 셔틀 운행 확정. 45인승 차량 6대(창원 3·진주 2·김해 1, 2026-07-20 공지로 진주 지역 2→6대 증차). 출발편은 경기 시작 2시간 전 각 지역 출발지에서, 귀가편은 경기 종료 20분 후 운행. 사전예약제(경기 5일 전 오전 11시 예약 오픈, 라이더스 앱). 마산역행은 비예약 선착순. / reservation_required: N"
SUWON,PARKING_GAME_RESERVATION,PARKING,야구경기 예약차량 주차,"경기 7일 전 17:00부터 만차까지 예약. 경기 2시간 전부터 통제되며 미예약 차량은 진입 불가. QR 사전결제는 경기 2시간 전부터 경기 종료 2시간 후까지 가능, 야구경기 정액 5,000원.",,Y,OFFICIAL,OFFICIAL_XLSX,S096,2026-09-03,CONFIRMED,False,"[수원 KT 위즈 파크] stadium_code: SUWON / access_code: PARKING_GAME_RESERVATION / mode: PARKING / title: 야구경기 예약차량 주차 / details: 경기 7일 전 17:00부터 만차까지 예약. 경기 2시간 전부터 통제되며 미예약 차량은 진입 불가. QR 사전결제는 경기 2시간 전부터 경기 종료 2시간 후까지 가능, 야구경기 정액 5,000원. / reservation_required: Y"
SUWON,PARKING_GENERAL,PARKING,수원종합운동장 일반 주차요금,"최초 30분 600원, 추가 10분당 300원, 1일 최대 7,000원. 만차 시 만석공원 공영주차장 또는 장안구청 주차장 이용 안내.",,N,OFFICIAL,OFFICIAL_XLSX,S096,2026-09-03,CONFIRMED,False,"[수원 KT 위즈 파크] stadium_code: SUWON / access_code: PARKING_GENERAL / mode: PARKING / title: 수원종합운동장 일반 주차요금 / details: 최초 30분 600원, 추가 10분당 300원, 1일 최대 7,000원. 만차 시 만석공원 공영주차장 또는 장안구청 주차장 이용 안내. / reservation_required: N"
DAEGU,PARKING_CAPACITY,PARKING,대구 삼성 라이온즈 파크 주차 수용 규모,"공식 2022 답변 기준 총 1,117면(지상 861·지하 256). 최신 2026 요금과 운영 수용면은 재확인 필요. [2026-09-08 밤 최종 확정] 위키백과(대구삼성라이온즈파크 문서)와 굿모닝충청 보도(2018-11-20)에서 모두 1,117면으로 명시해 원본 수치와 교차확인됨 — 확정 수치로 채택. 참고로 나무위키에는 852면(지상, 일반 이용)+245면(지하, 선수단·기자·VIP·관계자 전용)=1,097면이라는 소수 의견도 있으나 다수 교차확인 결과와 다르며 채택하지 않음.",1117.0,N,OFFICIAL,OFFICIAL_XLSX,S098,2026-09-03,CONFIRMED,True,"[대구 삼성 라이온즈 파크] stadium_code: DAEGU / access_code: PARKING_CAPACITY / mode: PARKING / title: 대구 삼성 라이온즈 파크 주차 수용 규모 / details: 공식 2022 답변 기준 총 1,117면(지상 861·지하 256). 최신 2026 요금과 운영 수용면은 재확인 필요. [2026-09-08 밤 최종 확정] 위키백과(대구삼성라이온즈파크 문서)와 굿모닝충청 보도(2018-11-20)에서 모두 1,117면으로 명시해 원본 수치와 교차확인됨 — 확정 수치로 채택. 참고로 나무위키에는 852면(지상, 일반 이용)+245면(지하, 선수단·기자·VIP·관계자 전용)=1,097면이라는 소수 의견도 있으나 다수 교차확인 결과와 다르며 채택하지 않음. / parking_spaces: 1117.0 / reservation_required: N"
CHANGWON,BUS_NCPARK_OFFICE,BUS,창원NC파크·마산회원구청 정류장,"도보 10분 이내. 간선 100·106·160, 읍면 53, 공단 540.",,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,"[창원 NC 파크] stadium_code: CHANGWON / access_code: BUS_NCPARK_OFFICE / mode: BUS / title: 창원NC파크·마산회원구청 정류장 / details: 도보 10분 이내. 간선 100·106·160, 읍면 53, 공단 540. / reservation_required: N"
CHANGWON,BUS_MBC,BUS,문화방송 정류장,"도보 10분 이내. 간선 100·105·108·116, 지선 250·259, 읍면 46·49·53, 공단 540.",,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,"[창원 NC 파크] stadium_code: CHANGWON / access_code: BUS_MBC / mode: BUS / title: 문화방송 정류장 / details: 도보 10분 이내. 간선 100·105·108·116, 지선 250·259, 읍면 46·49·53, 공단 540. / reservation_required: N"
CHANGWON,BUS_HOMEPLUS,BUS,야구장앞 홈플러스 정류장,"도보 10분 이내. 좌석 720, 간선 105·106·108·116·160, 지선 250·259, 읍면 46·49·70.",,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,"[창원 NC 파크] stadium_code: CHANGWON / access_code: BUS_HOMEPLUS / mode: BUS / title: 야구장앞 홈플러스 정류장 / details: 도보 10분 이내. 좌석 720, 간선 105·106·108·116·160, 지선 250·259, 읍면 46·49·70. / reservation_required: N"
CHANGWON,BUS_EXPRESS_TERMINAL,BUS,고속버스터미널 정류장,"도보 10분 이내. 급행 3002, 간선 102·106·109, 지선 277, 공단 540 및 다수 읍면 노선.",,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,"[창원 NC 파크] stadium_code: CHANGWON / access_code: BUS_EXPRESS_TERMINAL / mode: BUS / title: 고속버스터미널 정류장 / details: 도보 10분 이내. 급행 3002, 간선 102·106·109, 지선 277, 공단 540 및 다수 읍면 노선. / reservation_required: N"
CHANGWON,BUS_SHINSEGAE,BUS,신세계백화점 정류장,"도보 10분 이내. 좌석 720·740, 간선 102·107·108·109·114·163·164, 지선 250·257·259·260·277 및 다수 읍면 노선.",,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,"[창원 NC 파크] stadium_code: CHANGWON / access_code: BUS_SHINSEGAE / mode: BUS / title: 신세계백화점 정류장 / details: 도보 10분 이내. 좌석 720·740, 간선 102·107·108·109·114·163·164, 지선 250·257·259·260·277 및 다수 읍면 노선. / reservation_required: N"
CHANGWON,PARK_YANGDEOK_PUBLIC,PARKING,양덕공영주차장,경기 종료 후 1시간까지 무료 안내.,,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,[창원 NC 파크] stadium_code: CHANGWON / access_code: PARK_YANGDEOK_PUBLIC / mode: PARKING / title: 양덕공영주차장 / details: 경기 종료 후 1시간까지 무료 안내. / reservation_required: N
CHANGWON,PARK_NC,PARKING,NC주차장,공식 2026 안내도에서 유료 주차장으로 표시.,,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,[창원 NC 파크] stadium_code: CHANGWON / access_code: PARK_NC / mode: PARKING / title: NC주차장 / details: 공식 2026 안내도에서 유료 주차장으로 표시. / reservation_required: N
CHANGWON,PARK_YANGJI,PARKING,양지주차장,공식 2026 안내도에서 유료 주차장으로 표시.,,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,[창원 NC 파크] stadium_code: CHANGWON / access_code: PARK_YANGJI / mode: PARKING / title: 양지주차장 / details: 공식 2026 안내도에서 유료 주차장으로 표시. / reservation_required: N
CHANGWON,PARK_BUDGET,PARKING,알뜰주차장,공식 2026 안내도에서 유료 주차장으로 표시.,,N,OFFICIAL,OFFICIAL_XLSX,S086,2026-09-03,CONFIRMED,False,[창원 NC 파크] stadium_code: CHANGWON / access_code: PARK_BUDGET / mode: PARKING / title: 알뜰주차장 / details: 공식 2026 안내도에서 유료 주차장으로 표시. / reservation_required: N
DAEJEON,PARK_DAESAMUNHWA_2026,PARKING,대사문화공원 임시 공영주차장,대사동 179-1 일대. 2026-03-10 계획은 약 82면·무료 개방이었으나 2026-04-23 후속 공식자료에서 73면·경기 여부와 관계없이 상시 개방으로 안내되어 최신 면수 73면을 채택. 현재 요금·예약 조건은 후속 공식자료에서 재확인 필요.,73.0,,OFFICIAL,OFFICIAL_XLSX,S101,2026-09-04,PARTIAL,True,[대전 한화생명 볼파크] stadium_code: DAEJEON / access_code: PARK_DAESAMUNHWA_2026 / mode: PARKING / title: 대사문화공원 임시 공영주차장 / details: 대사동 179-1 일대. 2026-03-10 계획은 약 82면·무료 개방이었으나 2026-04-23 후속 공식자료에서 73면·경기 여부와 관계없이 상시 개방으로 안내되어 최신 면수 73면을 채택. 현재 요금·예약 조건은 후속 공식자료에서 재확인 필요. / parking_spaces: 73.0 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
DAEJEON,PARK_WELFARE_2026,PARKING,대전사회복지관 건립 부지 임시주차장,2026-03-10 대전시 공식 안내에서 80면 개방을 확인. 2026-09-04 현재 요금·예약 조건·운영 지속 여부는 최신 공식자료에서 별도 확인 필요.,80.0,,OFFICIAL,OFFICIAL_XLSX,S100,2026-09-04,PARTIAL,True,[대전 한화생명 볼파크] stadium_code: DAEJEON / access_code: PARK_WELFARE_2026 / mode: PARKING / title: 대전사회복지관 건립 부지 임시주차장 / details: 2026-03-10 대전시 공식 안내에서 80면 개방을 확인. 2026-09-04 현재 요금·예약 조건·운영 지속 여부는 최신 공식자료에서 별도 확인 필요. / parking_spaces: 80.0 (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
DAEJEON,PARK_BUSA_126_5_2026,PARKING,부사동 126-5 임시주차장,중부소방서 신축 예정지. 2026-04-23 공식자료에서 공사 착공 지연으로 재개방됨을 확인. 2026년 면수·요금·예약 조건과 9월 현재 운영 지속 여부는 미확인.,,,OFFICIAL,OFFICIAL_XLSX,S101,2026-09-04,PARTIAL,True,[대전 한화생명 볼파크] stadium_code: DAEJEON / access_code: PARK_BUSA_126_5_2026 / mode: PARKING / title: 부사동 126-5 임시주차장 / details: 중부소방서 신축 예정지. 2026-04-23 공식자료에서 공사 착공 지연으로 재개방됨을 확인. 2026년 면수·요금·예약 조건과 9월 현재 운영 지속 여부는 미확인. (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
DAEGU,BUS,BUS,수성알파시티역 경유 시내버스,"나무위키 확인 기준 16개 노선. 경산 방면(수성알파시티역 5번출구): 100, 100-1, 309, 349, 399, 509, 609, 649, 724, 848, 894, 937, 949, 990, 991, 수성3. 대구 시내 방면(수성알파시티역 1번출구): 100, 100-1, 309, 349, 399, 509, 609, 649, 724, 848, 894, 937, 949, 990, 991, 수성3-1. 출처: 나무위키 '대구 삼성 라이온즈 파크' 문서(2026-08-31 최종수정) — 공식 구단/지자체 출처 재확인 전까지는 참고용으로만 안내할 것.",,N,UNOFFICIAL,COMMUNITY_WIKI,RESEARCH_2026-09-08_DAEGU_BUS,2026-09-08,PARTIAL,False,"[대구 삼성 라이온즈 파크] stadium_code: DAEGU / access_code: BUS / mode: BUS / title: 수성알파시티역 경유 시내버스 / details: 나무위키 확인 기준 16개 노선. 경산 방면(수성알파시티역 5번출구): 100, 100-1, 309, 349, 399, 509, 609, 649, 724, 848, 894, 937, 949, 990, 991, 수성3. 대구 시내 방면(수성알파시티역 1번출구): 100, 100-1, 309, 349, 399, 509, 609, 649, 724, 848, 894, 937, 949, 990, 991, 수성3-1. 출처: 나무위키 '대구 삼성 라이온즈 파크' 문서(2026-08-31 최종수정) — 공식 구단/지자체 출처 재확인 전까지는 참고용으로만 안내할 것. / reservation_required: N (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
MUNHAK,BUS,BUS,인천SSG랜더스필드 경유 시내버스 (공식 오시는 길),"SSG 랜더스 공식 홈페이지(찾아오시는 길) 기준. 부평역 111-2 → 문학경기장 하차 / 주안역 63,522 → 문학경기장(박태환수영장) 하차 / 선학역 63,522,523,754,780-2 → 문학경기장(박태환수영장) 하차 / 동막역 6,303,304 → 문학경기장(박태환수영장) 하차 / 제물포역 4,63 → 문학경기장 하차 / 인하대역 5,27,111-2 → 문학경기장 하차 / 석천사거리역 11 → 문학경기장 하차 / 인천논현역 27 → 문학경기장 하차. 정류장별 경유노선 — 문학경기장[북문]: 4,5,11,27,46,82,111-2,515 / 문학경기장(박태환수영장)[동문]: 63,754,780-2,522,523,303. 출처: ssglanders.com/stadium/map (구단 공식).",,N,OFFICIAL,OFFICIAL_TEAM_SITE,RESEARCH_2026-09-08_MUNHAK_BUS,2026-09-08,CONFIRMED,False,"[인천 SSG 랜더스필드] stadium_code: MUNHAK / access_code: BUS / mode: BUS / title: 인천SSG랜더스필드 경유 시내버스 (공식 오시는 길) / details: SSG 랜더스 공식 홈페이지(찾아오시는 길) 기준. 부평역 111-2 → 문학경기장 하차 / 주안역 63,522 → 문학경기장(박태환수영장) 하차 / 선학역 63,522,523,754,780-2 → 문학경기장(박태환수영장) 하차 / 동막역 6,303,304 → 문학경기장(박태환수영장) 하차 / 제물포역 4,63 → 문학경기장 하차 / 인하대역 5,27,111-2 → 문학경기장 하차 / 석천사거리역 11 → 문학경기장 하차 / 인천논현역 27 → 문학경기장 하차. 정류장별 경유노선 — 문학경기장[북문]: 4,5,11,27,46,82,111-2,515 / 문학경기장(박태환수영장)[동문]: 63,754,780-2,522,523,303. 출처: ssglanders.com/stadium/map (구단 공식). / reservation_required: N"
SAJIK,PARKING_CAPACITY_UNOFFICIAL,PARKING,사직야구장 주차 수용 대수 (비공식),"사직야구장 단독 약 450면으로 추정(사직야구장+부산아시아드주경기장 합계 1,356면 중 사직야구장분). 티스토리 블로그 1건 출처. 부산시 체육시설관리사업소 공식 페이지는 접속했으나 자바스크립트 렌더링 문제로 수치를 직접 대조하지 못함 — 공식 확인 필요.",450.0,N,UNOFFICIAL,BLOG,RESEARCH_2026-09-08_SAJIK_PARKING,2026-09-08,PARTIAL,False,"[사직야구장] stadium_code: SAJIK / access_code: PARKING_CAPACITY_UNOFFICIAL / mode: PARKING / title: 사직야구장 주차 수용 대수 (비공식) / details: 사직야구장 단독 약 450면으로 추정(사직야구장+부산아시아드주경기장 합계 1,356면 중 사직야구장분). 티스토리 블로그 1건 출처. 부산시 체육시설관리사업소 공식 페이지는 접속했으나 자바스크립트 렌더링 문제로 수치를 직접 대조하지 못함 — 공식 확인 필요. / parking_spaces: 450.0 / reservation_required: N (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
SUWON,PARKING_CAPACITY_NEWS,PARKING,수원종합운동장+야구장 합산 주차 수용면 (언론보도),"전체 주차 공간(수원종합운동장+야구장 합산) 1,402면. 중부일보 보도(2024-09-26) 기준 — 야구장 단독 수치가 아니라 종합운동장 전체 합산 수치이므로 주의. 공식 구단/지자체 자료로 재확인 필요.",1402.0,N,UNOFFICIAL,NEWS_MEDIA,RESEARCH_2026-09-08_SUWON_PARKING,2026-09-08,PARTIAL,False,"[수원 KT 위즈 파크] stadium_code: SUWON / access_code: PARKING_CAPACITY_NEWS / mode: PARKING / title: 수원종합운동장+야구장 합산 주차 수용면 (언론보도) / details: 전체 주차 공간(수원종합운동장+야구장 합산) 1,402면. 중부일보 보도(2024-09-26) 기준 — 야구장 단독 수치가 아니라 종합운동장 전체 합산 수치이므로 주의. 공식 구단/지자체 자료로 재확인 필요. / parking_spaces: 1402.0 / reservation_required: N (공식 확인 전 정보로 정확하지 않을 수 있습니다.)"
